Country Name,Year,GDP,Inflation,Unemployment,LifeExp,Education
"Iran, Islamic Rep.",2021,4.13089685034471,43.3890162681514,9.282,73.752,54.3051986694336
Iceland,2021,5.1805719742238,4.44423970189739,6.029,83.1658536585366,86.5232086181641
Israel,2021,9.38837403354628,1.47965474722561,4.812,82.5,60.2585487365723
Italy,2021,8.93106210800055,1.87378325762481,9.497,82.6463414634146,71.2745208740234
Jordan,2021,3.65564358999147,1.34609377243118,19.837,74.204,30.451314266821
Japan,2021,2.69657404187188,-0.233352779398264,2.808,84.4456097560976,62.0412483215332
Kazakhstan,2021,4.29999999729456,8.04147134028401,5.568,70.131,59.3849415869809
Kyrgyz Republic,2021,5.50700762671923,11.9050398185147,5.149,71.9,51.6239256637785
Cambodia,2021,3.08984284148661,2.92073477592949,0.396,69.301,13.5005634857238
"Korea, Rep.",2021,4.61296795454287,2.49833333333339,3.639,83.5268292682927,100.359878540039
Kuwait,2021,1.67213054307859,3.42362947609188,2.97,78.7365853658537,51.8967176944636
Lao PDR,2021,2.52835100486102,3.75562036658877,2.08,67.807,12.4396649191011
Lebanon,2021,-7.00123862514116,154.756096023393,12.715,73.65,56.8657861418168
Sri Lanka,2021,4.2074764951157,7.01478071238195,4.981,76.278,20.7824292013914
Lithuania,2021,6.38001606179873,4.68354420903453,7.112,74.0365853658537,75.0314712524414
Luxembourg,2021,6.9297342584233,2.52692009066166,5.571,82.5975609756098,20.7341499328613
Latvia,2021,6.94254173062592,3.27582937431165,7.513,72.9804878048781,93.4839324951172
"Macao SAR, China",2021,22.4622020023362,0.0264543647055504,2.221,83.7292682926829,98.9696202531646
Morocco,2021,8.15473889823681,1.40195883962006,10.551,73.385,42.531967383806
Moldova,2021,13.9299997889786,5.10641129002835,0.794,68.991,61.3014036981023
Madagascar,2021,4.65068343174309,5.81225118787715,3.498,62.516,5.3135678666922
Maldives,2021,37.507870124321,0.543149688737013,5.016,78.052,23.794640430505
Mexico,2021,6.0484834621255,5.68920847683753,4.019,69.75,45.6506195068359
North Macedonia,2021,4.51067949038222,3.23074912132928,15.801,73.2463414634146,44.3020210266113
Malta,2021,13.4117042939322,1.49789217934724,3.754,82.2585365853659,70.2313537597656
Montenegro,2021,13.0462607426359,2.41080198403165,16.543,73.8243902439024,57.9613914489746
Mongolia,2021,1.63676957736662,7.35894657888155,7.871,71.6451219512195,67.4261046440448
Mauritius,2021,3.40379866177662,4.02852888157376,7.719,73.680243902439,43.9577226373808
Malawi,2021,4.55829212016083,9.33014410835212,5.652,64.782,2.39798041885226
Malaysia,2021,3.31534954399166,2.47710241465447,4.64,73.917,38.1899993008367
